course_url,course_name,absoulte_url
/course/france-universite-numerique-integrite-scientifique-dans-les-metiers-de-la-recherche-12001,Intégrité scientifique dans les métiers de la recherche,https://www.classcentral.com/course/france-universite-numerique-integrite-scientifique-dans-les-metiers-de-la-recherche-12001
/course/miriadax-como-gestionar-los-riesgos-agrarios-y-ambientales-14600,¿Cómo gestionar los riesgos agrarios y ambientales?,https://www.classcentral.com/course/miriadax-como-gestionar-los-riesgos-agrarios-y-ambientales-14600
/course/france-universite-numerique-construirecycler-10859,ConstruiREcycler,https://www.classcentral.com/course/france-universite-numerique-construirecycler-10859
/course/miriadax-reconocimiento-de-rocas-y-minerales-14632,Reconocimiento de rocas y minerales,https://www.classcentral.com/course/miriadax-reconocimiento-de-rocas-y-minerales-14632
/course/mecanique-point-materiel-4502,Mécanique du point matériel,https://www.classcentral.com/course/mecanique-point-materiel-4502
/course/mecanique-newton-4428,Mécanique de Newton,https://www.classcentral.com/course/mecanique-newton-4428
/course/mecanique-solide-5039,Mécanique : Solide Indéformable,https://www.classcentral.com/course/mecanique-solide-5039
/course/mecanique-lagrangienne-5084,Mécanique Lagrangienne,https://www.classcentral.com/course/mecanique-lagrangienne-5084
/course/bacterial-genomes-access-and-analysis-11907,Bacterial Genomes: Accessing and Analysing Microbial Genome Data,https://www.classcentral.com/course/bacterial-genomes-access-and-analysis-11907
/course/global-water-security-12542,The Challenge of Global Water Security,https://www.classcentral.com/course/global-water-security-12542
/course/global-arctic-11729,Global Arctic,https://www.classcentral.com/course/global-arctic-11729
/course/edx-quantum-information-science-ii-6958,Quantum Information Science II,https://www.classcentral.com/course/edx-quantum-information-science-ii-6958
/course/kongzi-6209,《论语》的智慧,https://www.classcentral.com/course/kongzi-6209
/course/swayam-text-textuality-and-digital-media-14325,"Text, Textuality and Digital Media",https://www.classcentral.com/course/swayam-text-textuality-and-digital-media-14325
/course/thaimooc--------network-literacy-15032,ระบบเครือข่ายคอมพิวเตอร์ขั้นพื้นฐาน (Network Literacy),https://www.classcentral.com/course/thaimooc--------network-literacy-15032
/course/thaimooc----it-literacy-15034,การรู้เทคโนโลยีสารสนเทศ (IT Literacy),https://www.classcentral.com/course/thaimooc----it-literacy-15034
/course/edx-devops-for-developers-how-to-get-started-6333,DevOps for Developers: How to Get Started,https://www.classcentral.com/course/edx-devops-for-developers-how-to-get-started-6333
/course/edx-microsoft-azure-virtual-networks-7316,Microsoft Azure Virtual Networks,https://www.classcentral.com/course/edx-microsoft-azure-virtual-networks-7316
/course/edx-microsoft-azure-identity-7322,Microsoft Azure Identity,https://www.classcentral.com/course/edx-microsoft-azure-identity-7322
/course/edx-microsoft-azure-virtual-machines-7216,Microsoft Azure Virtual Machines,https://www.classcentral.com/course/edx-microsoft-azure-virtual-machines-7216
/course/edx-introduction-to-nosql-data-solutions-8125,Introduction to NoSQL Data Solutions,https://www.classcentral.com/course/edx-introduction-to-nosql-data-solutions-8125
/course/edx-microsoft-azure-app-service-9313,Microsoft Azure App Service,https://www.classcentral.com/course/edx-microsoft-azure-app-service-9313
/course/edx-migrating-workloads-to-azure-9314,Migrating Workloads to Azure,https://www.classcentral.com/course/edx-migrating-workloads-to-azure-9314
/course/edx-microsoft-professional-orientation-cloud-administration-9328,Microsoft Professional Orientation : Cloud Administration,https://www.classcentral.com/course/edx-microsoft-professional-orientation-cloud-administration-9328
/course/edx-azure-security-and-compliance-9432,Azure Security and Compliance,https://www.classcentral.com/course/edx-azure-security-and-compliance-9432
/course/edx-automating-azure-workloads-9433,Automating Azure Workloads,https://www.classcentral.com/course/edx-automating-azure-workloads-9433
/course/edx-algorithmic-design-and-techniques-10241,Algorithmic Design and Techniques,https://www.classcentral.com/course/edx-algorithmic-design-and-techniques-10241
/course/edx-agile-software-development-6878,Agile Software Development,https://www.classcentral.com/course/edx-agile-software-development-6878
/course/openhpi-blockchain-sicherheit-auch-ohne-trust-center-12783,Blockchain - Sicherheit auch ohne Trust Center,https://www.classcentral.com/course/openhpi-blockchain-sicherheit-auch-ohne-trust-center-12783
/course/edx-multi-object-tracking-for-automotive-systems-10303,Multi-Object Tracking for Automotive Systems,https://www.classcentral.com/course/edx-multi-object-tracking-for-automotive-systems-10303
/course/edx-data-structures-fundamentals-10246,Data Structures Fundamentals,https://www.classcentral.com/course/edx-data-structures-fundamentals-10246
/course/stem-6538,"English for Science, Technology, Engineering, and Mathematics",https://www.classcentral.com/course/stem-6538
/course/learn-speak-korean1-6645,Learn to Speak Korean 1,https://www.classcentral.com/course/learn-speak-korean1-6645
/course/tricky-english-grammar-6291,Tricky English Grammar,https://www.classcentral.com/course/tricky-english-grammar-6291
/course/adjective-clauses-6293,Adjectives and Adjective Clauses,https://www.classcentral.com/course/adjective-clauses-6293
/course/writing-for-business-6595,Business Writing,https://www.classcentral.com/course/writing-for-business-6595
/course/philosophy-cognitive-sciences-7055,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,https://www.classcentral.com/course/philosophy-cognitive-sciences-7055
/course/zhongguorenwenjingdiandaodu-7060,中國人文經典導讀,https://www.classcentral.com/course/zhongguorenwenjingdiandaodu-7060
/course/luther-and-the-west-7071,Luther and the West,https://www.classcentral.com/course/luther-and-the-west-7071
/course/listening-notetaking-6817,Academic Listening and Note-Taking,https://www.classcentral.com/course/listening-notetaking-6817
/course/introancientegypt-7326,Introduction to Ancient Egypt and Its Civilization,https://www.classcentral.com/course/introancientegypt-7326
/course/hsk-3-part2-7131,Chinese for HSK 3 PART II,https://www.classcentral.com/course/hsk-3-part2-7131
/course/hsk-1-7141,Chinese for HSK 1,https://www.classcentral.com/course/hsk-1-7141
/course/mandarin-chinese-3-7167,Mandarin Chinese 3: Chinese for Beginners,https://www.classcentral.com/course/mandarin-chinese-3-7167
/course/history-israel-4791,The History of Modern Israel – Part I: From an Idea to a State,https://www.classcentral.com/course/history-israel-4791
/course/ell-lesson-4627,Lesson Planning with the ELL in Mind,https://www.classcentral.com/course/ell-lesson-4627
